"State","Species","Date confirmed by NVSL"
"Colorado","Dairy Milking Cattle","4/25/2024"
"Idaho","Dairy Milking Cattle","4/19/2024"
"New Mexico","Dairy Milking Cattle","4/17/2024"
"Michigan","Dairy Milking Cattle","4/17/2024"
"Texas","Dairy Milking Cattle","4/17/2024"
"Kansas","Dairy Milking Cattle","4/17/2024"
"Michigan","Dairy Milking Cattle","4/15/2024"
"Michigan","Dairy Milking Cattle","4/12/2024"
"Michigan","Dairy Milking Cattle","4/12/2024"
"Texas","Dairy Milking Cattle","4/10/2024"
"New Mexico","Dairy Milking Cattle","4/10/2024"
"South Dakota","Dairy Milking Cattle","4/9/2024"
"New Mexico","Dairy Milking Cattle","4/9/2024"
"North Carolina","Dairy Milking Cattle","4/9/2024"
"Texas","Dairy Milking Cattle","4/9/2024"
"New Mexico","Dairy Milking Cattle","4/6/2024"
"New Mexico","Dairy Milking Cattle","4/6/2024"
"Michigan","Dairy Milking Cattle","4/5/2024"
"Texas","Dairy Milking Cattle","4/4/2024"
"Texas","Dairy Milking Cattle","4/4/2024"
"Ohio","Dairy Milking Cattle","4/2/2024"
"New Mexico","Dairy Milking Cattle","4/1/2024"
"New Mexico","Dairy Milking Cattle","4/1/2024"
"Kansas","Dairy Milking Cattle","4/1/2024"
"Idaho","Dairy Milking Cattle","4/1/2024"
"New Mexico","Dairy Milking Cattle","4/1/2024"
"Texas","Dairy Milking Cattle","3/30/2024"
"Texas","Dairy Milking Cattle","3/30/2024"
"Michigan","Dairy Milking Cattle","3/29/2024"
"Texas","Dairy Milking Cattle","3/27/2024"
"Texas","Dairy Milking Cattle","3/27/2024"
"Texas","Dairy Milking Cattle","3/27/2024"
"Kansas","Dairy Milking Cattle","3/26/2024"
"Kansas","Dairy Milking Cattle","3/26/2024"
"Texas","Dairy Milking Cattle","3/26/2024"
"Texas","Dairy Milking Cattle","3/25/2024"